1F1E6 1F1E8   ; Emoji_Flag_Sequence       ; Ascension Island                                               #  6.0  [1] (🇦🇨)
1F1E6 1F1E9   ; Emoji_Flag_Sequence       ; Andorra                                                        #  6.0  [1] (🇦🇩)
1F1E6 1F1EA   ; Emoji_Flag_Sequence       ; United Arab Emirates                                           #  6.0  [1] (🇦🇪)
1F1E6 1F1EB   ; Emoji_Flag_Sequence       ; Afghanistan                                                    #  6.0  [1] (🇦🇫)
1F1E6 1F1EC   ; Emoji_Flag_Sequence       ; Antigua & Barbuda                                              #  6.0  [1] (🇦🇬)
1F1E6 1F1EE   ; Emoji_Flag_Sequence       ; Anguilla                                                       #  6.0  [1] (🇦🇮)
1F1E6 1F1F1   ; Emoji_Flag_Sequence       ; Albania                                                        #  6.0  [1] (🇦🇱)
1F1E6 1F1F2   ; Emoji_Flag_Sequence       ; Armenia                                                        #  6.0  [1] (🇦🇲)
1F1E6 1F1F4   ; Emoji_Flag_Sequence       ; Angola                                                         #  6.0  [1] (🇦🇴)
1F1E6 1F1F6   ; Emoji_Flag_Sequence       ; Antarctica                                                     #  6.0  [1] (🇦🇶)
1F1E6 1F1F7   ; Emoji_Flag_Sequence       ; Argentina                                                      #  6.0  [1] (🇦🇷)
1F1E6 1F1F8   ; Emoji_Flag_Sequence       ; American Samoa                                                 #  6.0  [1] (🇦🇸)
1F1E6 1F1F9   ; Emoji_Flag_Sequence       ; Austria                                                        #  6.0  [1] (🇦🇹)
1F1E6 1F1FA   ; Emoji_Flag_Sequence       ; Australia                                                      #  6.0  [1] (🇦🇺)
1F1E6 1F1FC   ; Emoji_Flag_Sequence       ; Aruba                                                          #  6.0  [1] (🇦🇼)
1F1E6 1F1FD   ; Emoji_Flag_Sequence       ; Åland Islands                                                  #  6.0  [1] (🇦🇽)
1F1E6 1F1FF   ; Emoji_Flag_Sequence       ; Azerbaijan                                                     #  6.0  [1] (🇦🇿)
1F1E7 1F1E6   ; Emoji_Flag_Sequence       ; Bosnia & Herzegovina                                           #  6.0  [1] (🇧🇦)
1F1E7 1F1E7   ; Emoji_Flag_Sequence       ; Barbados                                                       #  6.0  [1] (🇧🇧)
1F1E7 1F1E9   ; Emoji_Flag_Sequence       ; Bangladesh                                                     #  6.0  [1] (🇧🇩)
1F1E7 1F1EA   ; Emoji_Flag_Sequence       ; Belgium                                                        #  6.0  [1] (🇧🇪)
1F1E7 1F1EB   ; Emoji_Flag_Sequence       ; Burkina Faso                                                   #  6.0  [1] (🇧🇫)
1F1E7 1F1EC   ; Emoji_Flag_Sequence       ; Bulgaria                                                       #  6.0  [1] (🇧🇬)
1F1E7 1F1ED   ; Emoji_Flag_Sequence       ; Bahrain                                                        #  6.0  [1] (🇧🇭)
1F1E7 1F1EE   ; Emoji_Flag_Sequence       ; Burundi                                                        #  6.0  [1] (🇧🇮)
1F1E7 1F1EF   ; Emoji_Flag_Sequence       ; Benin                                                          #  6.0  [1] (🇧🇯)
1F1E7 1F1F1   ; Emoji_Flag_Sequence       ; St. Barthélemy                                                 #  6.0  [1] (🇧🇱)
1F1E7 1F1F2   ; Emoji_Flag_Sequence       ; Bermuda                                                        #  6.0  [1] (🇧🇲)
1F1E7 1F1F3   ; Emoji_Flag_Sequence       ; Brunei                                                         #  6.0  [1] (🇧🇳)
1F1E7 1F1F4   ; Emoji_Flag_Sequence       ; Bolivia                                                        #  6.0  [1] (🇧🇴)
1F1E7 1F1F6   ; Emoji_Flag_Sequence       ; Caribbean Netherlands                                          #  6.0  [1] (🇧🇶)
1F1E7 1F1F7   ; Emoji_Flag_Sequence       ; Brazil                                                         #  6.0  [1] (🇧🇷)
1F1E7 1F1F8   ; Emoji_Flag_Sequence       ; Bahamas                                                        #  6.0  [1] (🇧🇸)
1F1E7 1F1F9   ; Emoji_Flag_Sequence       ; Bhutan                                                         #  6.0  [1] (🇧🇹)
1F1E7 1F1FB   ; Emoji_Flag_Sequence       ; Bouvet Island                                                  #  6.0  [1] (🇧🇻)
1F1E7 1F1FC   ; Emoji_Flag_Sequence       ; Botswana                                                       #  6.0  [1] (🇧🇼)
1F1E7 1F1FE   ; Emoji_Flag_Sequence       ; Belarus                                                        #  6.0  [1] (🇧🇾)
1F1E7 1F1FF   ; Emoji_Flag_Sequence       ; Belize                                                         #  6.0  [1] (🇧🇿)
1F1E8 1F1E6   ; Emoji_Flag_Sequence       ; Canada                                                         #  6.0  [1] (🇨🇦)
1F1E8 1F1E8   ; Emoji_Flag_Sequence       ; Cocos (Keeling) Islands                                        #  6.0  [1] (🇨🇨)
1F1E8 1F1E9   ; Emoji_Flag_Sequence       ; Congo - Kinshasa                                               #  6.0  [1] (🇨🇩)
1F1E8 1F1EB   ; Emoji_Flag_Sequence       ; Central African Republic                                       #  6.0  [1] (🇨🇫)
1F1E8 1F1EC   ; Emoji_Flag_Sequence       ; Congo - Brazzaville                                            #  6.0  [1] (🇨🇬)
1F1E8 1F1ED   ; Emoji_Flag_Sequence       ; Switzerland                                                    #  6.0  [1] (🇨🇭)
1F1E8 1F1EE   ; Emoji_Flag_Sequence       ; Côte d’Ivoire                                                  #  6.0  [1] (🇨🇮)
1F1E8 1F1F0   ; Emoji_Flag_Sequence       ; Cook Islands                                                   #  6.0  [1] (🇨🇰)
1F1E8 1F1F1   ; Emoji_Flag_Sequence       ; Chile                                                          #  6.0  [1] (🇨🇱)
1F1E8 1F1F2   ; Emoji_Flag_Sequence       ; Cameroon                                                       #  6.0  [1] (🇨🇲)
1F1E8 1F1F3   ; Emoji_Flag_Sequence       ; China                                                          #  6.0  [1] (🇨🇳)
1F1E8 1F1F4   ; Emoji_Flag_Sequence       ; Colombia                                                       #  6.0  [1] (🇨🇴)
1F1E8 1F1F5   ; Emoji_Flag_Sequence       ; Clipperton Island                                              #  6.0  [1] (🇨🇵)
1F1E8 1F1F7   ; Emoji_Flag_Sequence       ; Costa Rica                                                     #  6.0  [1] (🇨🇷)
1F1E8 1F1FA   ; Emoji_Flag_Sequence       ; Cuba                                                           #  6.0  [1] (🇨🇺)
1F1E8 1F1FB   ; Emoji_Flag_Sequence       ; Cape Verde                                                     #  6.0  [1] (🇨🇻)
1F1E8 1F1FC   ; Emoji_Flag_Sequence       ; Curaçao                                                        #  6.0  [1] (🇨🇼)
1F1E8 1F1FD   ; Emoji_Flag_Sequence       ; Christmas Island                                               #  6.0  [1] (🇨🇽)
1F1E8 1F1FE   ; Emoji_Flag_Sequence       ; Cyprus                                                         #  6.0  [1] (🇨🇾)
1F1E8 1F1FF   ; Emoji_Flag_Sequence       ; Czechia                                                        #  6.0  [1] (🇨🇿)
1F1E9 1F1EA   ; Emoji_Flag_Sequence       ; Germany                                                        #  6.0  [1] (🇩🇪)
1F1E9 1F1EC   ; Emoji_Flag_Sequence       ; Diego Garcia                                                   #  6.0  [1] (🇩🇬)
1F1E9 1F1EF   ; Emoji_Flag_Sequence       ; Djibouti                                                       #  6.0  [1] (🇩🇯)
1F1E9 1F1F0   ; Emoji_Flag_Sequence       ; Denmark                                                        #  6.0  [1] (🇩🇰)
1F1E9 1F1F2   ; Emoji_Flag_Sequence       ; Dominica                                                       #  6.0  [1] (🇩🇲)
1F1E9 1F1F4   ; Emoji_Flag_Sequence       ; Dominican Republic                                             #  6.0  [1] (🇩🇴)
1F1E9 1F1FF   ; Emoji_Flag_Sequence       ; Algeria                                                        #  6.0  [1] (🇩🇿)
1F1EA 1F1E6   ; Emoji_Flag_Sequence       ; Ceuta & Melilla                                                #  6.0  [1] (🇪🇦)
1F1EA 1F1E8   ; Emoji_Flag_Sequence       ; Ecuador                                                        #  6.0  [1] (🇪🇨)
1F1EA 1F1EA   ; Emoji_Flag_Sequence       ; Estonia                                                        #  6.0  [1] (🇪🇪)
1F1EA 1F1EC   ; Emoji_Flag_Sequence       ; Egypt                                                          #  6.0  [1] (🇪🇬)
1F1EA 1F1ED   ; Emoji_Flag_Sequence       ; Western Sahara                                                 #  6.0  [1] (🇪🇭)
1F1EA 1F1F7   ; Emoji_Flag_Sequence       ; Eritrea                                                        #  6.0  [1] (🇪🇷)
1F1EA 1F1F8   ; Emoji_Flag_Sequence       ; Spain                                                          #  6.0  [1] (🇪🇸)
1F1EA 1F1F9   ; Emoji_Flag_Sequence       ; Ethiopia                                                       #  6.0  [1] (🇪🇹)
1F1EA 1F1FA   ; Emoji_Flag_Sequence       ; European Union                                                 #  6.0  [1] (🇪🇺)
1F1EB 1F1EE   ; Emoji_Flag_Sequence       ; Finland                                                        #  6.0  [1] (🇫🇮)
